113 : Clar                                  : Clear
113 : Assolellat                            : Sunny
116 : Parcialment ennuvolat                 : Partly cloudy
119 : Ennuvolat                             : Cloudy
122 : Ennuvolat                             : Overcast
143 : Boira                                 : Mist
176 : Parcialment ennuvolat                 : Patchy rain possible
179 : Irregular neu possible                : Patchy snow possible
182 : Irregular aiguaneu possible           : Patchy sleet possible
185 : Plugim congelació dispersada possible : Patchy freezing drizzle possible
200 : Thundery possibles brots              : Thundery outbreaks possible
227 : Vent i neu                            : Blowing snow
230 : Tempesta de neu                       : Blizzard
248 : Boira                                 : Fog
260 : Boira congelada                       : Freezing fog
263 : Plugim lleugera irregular             : Patchy light drizzle
266 : lleugera plugim                       : Light drizzle
281 : Plugim gelada                         : Freezing drizzle
284 : Plugim congelació pesat               : Heavy freezing drizzle
293 : Intervals de pluges                   : Patchy light rain
296 : Pluja lleugera                        : Light rain
299 : Pluja moderada a vegades              : Moderate rain at times
302 : Pluja moderada                        : Moderate rain
305 : Puntulas pluges fortes                : Heavy rain at times
308 : Pluja intensa                         : Heavy rain
311 : Pluja de congelació llum              : Light freezing rain
314 : Pluja moderada o forta de congelació  : Moderate or heavy freezing rain
317 : Aiguaneu lleugera                     : Light sleet
320 : Aiguaneu moderada o forta             : Moderate or heavy sleet
323 : Neu lleugera irregular                : Patchy light snow
326 : Neu lleugera                          : Light snow
329 : Neu moderada irregular                : Patchy moderate snow
332 : Nevades moderades                     : Moderate snow
335 : Fortes nevades irregular              : Patchy heavy snow
338 : Les fortes nevades                    : Heavy snow
350 : Grànuls de gel                        : Ice pellets
353 : Dutxa de pluja lleugera               : Light rain shower
356 : Dutxa de pluja moderada o forta       : Moderate or heavy rain shower
359 : Pluja torrencial                      : Torrential rain shower
362 : Lleugers ruixats d'aiguaneu           : Light sleet showers
365 : Ruixats d'aiguaneu moderada o forta   : Moderate or heavy sleet showers
368 : Neu lleugera                          : Light snow showers
371 : Neu moderada o forta                  : Moderate or heavy snow showers
386 : Intervals de pluges amb trons         : Patchy light rain with thunder
389 : Pluja moderada o forta amb trons      : Moderate or heavy rain with thunder
392 : Neu lleugera irregular amb trons      : Patchy light snow with thunder
395 : Neu moderada o forta amb trons        : Moderate or heavy snow with thunder
