113 : Čist                           : Clear
113 : Sunčano                        : Sunny
116 : Delimično oblačno              : Partly cloudy
119 : Oblačno je                     : Cloudy
122 : Oblacno                        : Overcast
143 : Mrlja                          : Mist
176 : Moguće kiša pada kiša          : Patchy rain possible
179 : Mogući snijeg                  : Patchy snow possible
182 : Mogući snijeg                  : Patchy sleet possible
185 : Mogu žutokrveno hladno         : Patchy freezing drizzle possible
200 : Mogu zanimljivo flash          : Thundery outbreaks possible
227 : Puhivanje snijeg               : Blowing snow
230 : Oluji                          : Blizzard
248 : Magla                          : Fog
260 : Frost, magla                   : Freezing fog
263 : Briljantan svjetlo kišnicu     : Patchy light drizzle
266 : Bistar kiša                    : Light drizzle
281 : Ledeno pljuskanja              : Freezing drizzle
284 : Teško je da se smrzneš         : Heavy freezing drizzle
293 : Vrijeme je jasno               : Patchy light rain
296 : Meko kiša                      : Light rain
299 : Ponekad kiše                   : Moderate rain at times
302 : Umjerena kiša                  : Moderate rain
305 : Ponekad kiša                   : Heavy rain at times
308 : Tuš                            : Heavy rain
311 : Čvrsto kiša                    : Light freezing rain
314 : Umjereno, ili teški ledene kiše : Moderate or heavy freezing rain
317 : Vrijeme je jasno               : Light sleet
320 : Umjerena ili snijega tuševe    : Moderate or heavy sleet
323 : Svjetlo.                            : Patchy light snow
326 : Slab snijeg                    : Light snow
329 : Moćna stila snijeg             : Patchy moderate snow
332 : Umjerena snijeg                : Moderate snow
335 : Moćna snijeg                   : Patchy heavy snow
338 : Mnogo snega                    : Heavy snow
350 : Led muda                       : Ice pellets
353 : Svjetlo kiša tuš               : Light rain shower
356 : Umjerena ili kiše tuš          : Moderate or heavy rain shower
359 : Na otvorenom tropske tuš       : Torrential rain shower
362 : Svjetlo kiša tokom dana        : Light sleet showers
365 : Umjerena da kiše               : Moderate or heavy sleet showers
368 : Kiše                           : Light snow showers
371 : Umjerena da kiše, snijeg       : Moderate or heavy snow showers
386 : Kiša s grmljavinom             : Patchy light rain with thunder
389 : Umjerena ili kiše s grmljavinom : Moderate or heavy rain with thunder
392 : Svjetlo sa munja               : Patchy light snow with thunder
395 : Umjerena ili snijega s grmljavinom: Moderate or heavy snow with thunder
