   : Tuvumā īslaicīgs lietus                      : Patchy rain nearby
   : Tuvumā pērkona negaiss                       : Thunderstorm in vicinity
113: Skaidrs                                      : Clear
113: Saulains                                     : Sunny
116: Daļēji mākoņains                             : Partly cloudy
119: Mākoņains                                    : Cloudy
122: Apmācies                                     : Overcast
143: Dūmaka                                       : Mist
176: Vietām iespējams lietus                      : Patchy rain possible
179: Vietām iespējams sniegs                      : Patchy snow possible
182: Vietām iespējams sals                        : Patchy sleet possible
185: Vietām iespējama sasalstoša smidzināšana     : Patchy freezing drizzle possible
200: Iespējams pērkona negaiss                    : Thundery outbreaks possible
227: Sniegputenis                                 : Blowing snow
230: Sniega vētra                                 : Blizzard
248: Migla                                        : Fog
260: Sasalstoša migla                             : Freezing fog
263: Vietām viegla smidzināšana                   : Patchy light drizzle
266: Viegla smidzināšana                          : Light drizzle
281: Sasalstoša smidzināšana                      : Freezing drizzle
284: Spēcīga sasalstoša smidzināšana              : Heavy freezing drizzle
293: Vietām viegls lietus                         : Patchy light rain
296: Viegls lietus                                : Light rain
299: Īslaicīgs mērens lietus                      : Moderate rain at times
302: Mērens lietus                                : Moderate rain
305: Īslaicīgs spēcīgs lietus                     : Heavy rain at times
308: Spēcīgs lietus                               : Heavy rain
311: Viegls sasalstošs lietus                     : Light freezing rain
314: Mērens vai spēcīgs un sasalstošs lietus      : Moderate or heavy freezing rain
317: Viegls slapjdraņķis                          : Light sleet
320: Mērens vai spēcīgs slapjdraņķis              : Moderate or heavy sleet
323: Vietām viegls sniegs                         : Patchy light snow
326: Viegls sniegs                                : Light snow
329: Vietām mērens sniegs                         : Patchy moderate snow
332: Mērens sniegs                                : Moderate snow
335: Vietām spēcīgs sniegs                        : Patchy heavy snow
338: Spēcīgs sniegs                               : Heavy snow
350: Krusa                                        : Ice pellets
353: Vieglas lietusgāzes                          : Light rain shower
356: Mērenas vai spēcīgas lietusgāzes             : Moderate or heavy rain shower
359: Spēcīgas lietusgāzes                         : Torrential rain shower
362: Vieglas slapjdraņķa gāzes                    : Light sleet showers
365: Mērens vai spēcīgs sniegs                    : Moderate or heavy sleet showers
368: Vieglas sniega gāzes                         : Light snow showers
371: Mērenas vai spēcīgs sniega gāzes             : Moderate or heavy snow showers
386: Vietām viegls lietus ar pērkona negaisu      : Patchy light rain with thunder
389: Mērens vai spēcīgs lietus ar pērkona negaisu : Moderate or heavy rain with thunder
392: Vietām viegls sniegs ar pērkona negaisu      : Patchy light snow with thunder
395: Mērens vai spēcīgs sniegs ar pērkona negaisu : Moderate or heavy snow with thunder
