113: Sol                                    : Sunny
114: Klart                                  : Clear
116: Delvis skyet                           : Partly cloudy
119: Skyet                                  : Cloudy
122: Overskyet                              : Overcast
143: Dis                                    : Mist
176: Sjanser for skiftende regn             : Patchy rain possible
179: Sjanser for skiftende snø              : Patchy snow possible
182: Sjanser for skiftende sludd            : Patchy sleet possible
185: Sjanser for skiftende, kaldt duskregn  : Patchy freezing drizzle possible
200: Fare for torden                        : Thundery outbreaks possible
227: Snøfokk                                : Blowing snow
230: Snøstorm                               : Blizzard
248: Tåke                                   : Fog
260: Kald tåke                              : Freezing fog
263: Skiftende, lett duskregn               : Patchy light drizzle
266: Lett duskregn                          : Light drizzle
281: Kaldt duskregn                         : Freezing drizzle
284: Kraftig, kaldt duskregn                : Heavy freezing drizzle
293: Skiftende, lett regn                   : Patchy light rain
296: Lett regn                              : Light rain
299: Til tider noe regn                     : Moderate rain at times
302: Noe regn                               : Moderate rain
305: Til tider kraftig regn                 : Heavy rain at times
308: Kraftig regn                           : Heavy rain
311: Lett, kaldt regn                       : Light freezing rain
314: Moderat eller kraftig kaldt regn       : Moderate or heavy freezing rain
317: Lett sludd                             : Light sleet
320: Moderat eller kraftig sludd            : Moderate or heavy sleet
323: Skiftende, lett snø                    : Patchy light snow
326: Lett snø                               : Light snow
329: Skiftende, moderat snø                 : Patchy moderate snow
332: Noe snø                                : Moderate snow
335: Skiftende, kraftig snøfall             : Patchy heavy snow
338: Kraftig snøfall                        : Heavy snow
350: Hagl                                   : Ice pellets
353: Lett regnskur                          : Light rain shower
356: Moderat eller tung regnskur            : Moderate or heavy rain shower
359: Styrtregn                              : Torrential rain shower
362: Lette sluddbyger                       : Light sleet showers
365: Moderate eller tunge sluddbyger        : Moderate or heavy sleet showers
368: Lette snøbyger                         : Light snow showers
371: Moderate eller kraftige snøbyger       : Moderate or heavy snow showers
386: Skiftende, lett regn med torden        : Patchy light rain with thunder
389: Moderat eller kraftig regn med torden  : Moderate or heavy rain with thunder
392: Skiftende, lett snø med torden         : Patchy light snow with thunder
395: Moderat eller kraftig snø med torden   : Moderate or heavy snow with thunder

: Dis i nærheten                            : Haze in vicinity
: Kraftig regn- og snøbyge                  : Heavy rain and snow shower
: Kraftig regnbyge                          : Heavy rain shower
: Lett duskregn og snøkorn                  : Light drizzle and snow grains
: Lett regn- og tåkebyge                    : Light rain and mist shower
: Lett byge med små hagl                    : Light small hail shower
: Lett byge med ukjent nedbør               : Light unknown precipitation shower
: Regn og små hagl med tordenvær            : Rain and small hail with thunderstorm
: Snøbyge i nærheten                        : Snow shower in vicinity
: Tordenvær i nærheten                      : Thundery outbreaks nearby
: Snøfokk nær bakken                        : Low drifting snow
: Tåkebanker                                : Patches of fog
: Duskregn                                  : Drizzle
: Lett duskregn og regn                     : Light drizzle and rain
: Snø                                       : Snow
: Regn                                      : Rain
: Regnbyge                                  : Rain shower
: Sandfokk                                  : Blowing sand
: Utbredt støvfokk                          : Blowing widespread dust
: Utbredt støvfokk i nærheten               : Blowing widespread dust in vicinity
: Duskregn og tåke                          : Drizzle and fog
: Duskregn og regn                          : Drizzle and rain
: Duskregn og regnbyge                      : Drizzle and rain shower
: Duskregn med tordenvær                    : Drizzle with thunderstorm
: Støvstorm                                 : Dust storm
: Tåke i nærheten                           : Fog in vicinity
: Underkjølt duskregn og regn               : Freezing drizzle and rain
: Underkjølt tåke                           : Freezing mist
: Underkjølt regn                           : Freezing rain
: Underkjølt regn og snø                    : Freezing rain and snow
: Underkjølt ukjent nedbør                  : Freezing unknown precipitation
: Skydrage i nærheten                       : Funnel cloud in vicinity
: Haglbyge                                  : Hail shower
: Hagl med tordenvær                        : Hail with thunderstorm
: Dis                                       : Haze
: Kraftig snøfokk                           : Heavy blowing snow
: Kraftig duskregn                          : Heavy drizzle
: Kraftig duskregn og regn                  : Heavy drizzle and rain
: Kraftig underkjølt ukjent nedbør          : Heavy freezing unknown precipitation
: Kraftig hagl med tordenvær                : Heavy hail with thunderstorm
: Kraftige ispellets                        : Heavy ice pellets
: Kraftig regn- og haglbyge                 : Heavy rain and hail shower
: Kraftig regn og hagl med tordenvær        : Heavy rain and hail with thunderstorm
: Kraftig byge med regn og små hagl         : Heavy rain and small hail shower
: Kraftig regn og små hagl med tordenvær    : Heavy rain and small hail with thunderstorm
: Kraftig regn og snø                       : Heavy rain and snow
: Kraftig regn og snø med tordenvær         : Heavy rain and snow with thunderstorm
: Kraftig regn med tordenvær                : Heavy rain with thunderstorm
: Kraftig byge med små hagl                 : Heavy small hail shower
: Kraftig snøbyge                           : Heavy snow shower
: Kraftig snø med tordenvær                 : Heavy snow with thunderstorm
: Iskrystaller                              : Ice crystals
: Lett snøfokk                              : Light blowing snow
: Lett duskregn og tåke                     : Light drizzle and fog
: Lett duskregn og ispellets                : Light drizzle and ice pellets
: Lett duskregn, regn og snø                : Light drizzle and rain and snow
: Lett duskregn og regnbyge                 : Light drizzle and rain shower
: Lett duskregn og regn med tordenvær       : Light drizzle and rain with thunderstorm
: Lett duskregn og snø                      : Light drizzle and snow
: Lett duskregn med tordenvær               : Light drizzle with thunderstorm
: Lett underkjølt duskregn                  : Light freezing drizzle
: Lett underkjølt duskregn og regn          : Light freezing drizzle and rain
: Lett underkjølt duskregn og snø           : Light freezing drizzle and snow
: Lett underkjølt tåke                      : Light freezing fog
: Lett underkjølt regn og snø               : Light freezing rain and snow
: Lett underkjølt ukjent nedbør             : Light freezing unknown precipitation
: Lett haglbyge                             : Light hail shower
: Lett iskrystaller                         : Light ice crystals
: Lett ispellets                            : Light ice pellets
: Lett regn og dis                          : Light rain and mist
: Lett byge med små hagl                    : Light rain and small hail shower
: Lett regn og små hagl med tordenvær       : Light rain and small hail with thunderstorm
: Lett regn og snø                          : Light rain and snow
: Lett regn- og snøbyge                     : Light rain and snow shower
: Lett regn med tordenvær                   : Light rain with thunderstorm
: Lett snø og ispellets                     : Light snow and ice pellets
: Lett snø og små hagl                      : Light snow and small hail
: Lett snøbyge                              : Light snow shower
: Lett snø med tordenvær                    : Light snow with thunderstorm
: Lett tordenvær                            : Light thunderstorm
: Delvis tåke                               : Partial fog
