113:晴                                    : Clear
113:晴                                    : Sunny
116:少云                                  : Partly cloudy
119:多云                                  : Cloudy
122:阴                                    : Overcast
143:轻雾                                  : Mist
176:局部下小雨                             : Patchy rain possible
179:局部下小雪                             : Patchy snow possible
182:局部有雨夹雪                            : Patchy sleet possible
185:局部有冻毛毛雨                          : Patchy freezing drizzle possible
200:可能打雷                               : Thundery outbreaks possible
227:小雪                                  : Blowing snow
230:暴雪                                  : Blizzard
248:雾                                    : Fog
260:冻雾                                  : Freezing fog
263:局部毛毛雨                              : Patchy light drizzle
266:毛毛雨                                 : Light drizzle
281:冻毛毛雨                               : Freezing drizzle
284:大冻毛毛雨                              : Heavy freezing drizzle
293:局部小雨                               : Patchy light rain
296:小雨                                  : Light rain
299:有时中雨                               : Moderate rain at times
302:中雨                                  : Moderate rain
305:有时大雨                               : Heavy rain at times
308:大雨                                  : Heavy rain
311:小冻雨                                 : Light freezing rain
314:中或大冻雨                              : Moderate or heavy freezing rain
317:小雨夹雪                                 : Light sleet
320:中或大雨夹雪                            : Moderate or heavy sleet
323:局部小雪                               : Patchy light snow
326:小雪                                  : Light snow
329:局部中雪                               : Patchy moderate snow
332:中雪                                  : Moderate snow
335:局部大雪                               : Patchy heavy snow
338:大雪                                  : Heavy snow
350:冰丸                                  : Ice pellets
353:小阵雨                                : Light rain shower
356:中或大阵雨                             : Moderate or heavy rain shower
359:暴阵雨                                : Torrential rain shower
362:小阵雨夹雪                             : Light sleet showers
365:中或大阵雨夹雪                          : Moderate or heavy sleet showers
368:小阵雪                                : Light snow showers
371:中或大阵雪                             : Moderate or heavy snow showers
386:局部小雷阵雨                            : Patchy light rain with thunder
389:中或大雷阵雨                            : Moderate or heavy rain with thunder
392:小雷阵雪                               : Patchy light snow with thunder
395:中或大雷阵雪                            : Moderate or heavy snow with thunder
   : 附近有霾                                    : Haze in vicinity                                   :
   : 大阵性雨夹雪                                : Heavy rain and snow shower                         :
   : 大阵雨                                      : Heavy rain shower                                  :
   : 小毛毛雨和米雪                              : Light drizzle and snow grains                      :
   : 小阵雨和薄雾                                : Light rain and mist shower                         :
   : 小阵性霰                                    : Light small hail/snow pellets shower               :
   : 小阵性未知降水                              : Light unknown precipitation shower                 :
   : 雨和霰伴雷暴                                : Rain and small hail/snow pellets with thunderstorm :
   : 附近有阵雪                                  : Snow shower in vicinity                            :
   : 附近有雷暴                                  : Thundery outbreaks nearby                          :
   : 低吹雪                                      : Low drifting snow                                  :
   : 局部有雾                                    : Patches of fog                                     :
   : 毛毛雨                                      : Drizzle                                            :
   : 小毛毛雨和雨                                : Light drizzle and rain                             :
   : 雪                                          : Snow                                               :
   : 雨                                          : Rain                                               :
   : 阵雨                                        : Rain Shower                                        :
   : 高吹沙                                      : Blowing sand                                       :
   : 大范围扬尘                                  : Blowing widespread dust                            :
   : 附近有大范围扬尘                            : Blowing widespread dust in vicinity                :
   : 毛毛雨和雾                                  : Drizzle and fog                                    :
   : 毛毛雨和雨                                  : Drizzle and rain                                   :
   : 毛毛雨和阵雨                                : Drizzle and rain shower                            :
   : 毛毛雨伴雷暴                                : Drizzle with thunderstorm                          :
   : 尘暴                                        : Dust storm                                         :
   : 附近有雾                                    : Fog in vicinity                                    :
   : 冻毛毛雨和雨                                : Freezing drizzle and rain                          :
   : 冻薄雾                                      : Freezing mist                                      :
   : 冻雨                                        : Freezing rain                                      :
   : 冻雨夹雪                                    : Freezing rain and snow                             :
   : 冻结未知降水                                : Freezing unknown precipitation                     :
   : 附近有漏斗云                                : Funnel cloud in vicinity                           :
   : 阵性冰雹                                    : Hail shower                                        :
   : 冰雹伴雷暴                                  : Hail with thunderstorm                             :
